Date,Open,High,Low,Close,Volume,,
2016-03-28,37.2,38.55,36.35,37.2,103362,,
2016-03-25,37.8,37.8,37.8,37.8,0,,
2016-03-24,37.8,37.8,37.8,37.8,0,,
2016-03-23,38.95,38.95,37.5,37.8,111880,,
2016-03-22,39.45,39.9,38.55,38.95,136336,,
2016-03-21,39.35,40.35,39.15,39.5,59890,,
2016-03-18,39.95,40.4,39.25,39.6,46663,,
2016-03-17,41.75,41.8,39.05,39.4,81838,,
2016-03-16,40.05,41.2,38.65,40.7,94781,,
2016-03-15,41.5,41.6,39.1,39.7,79023,,
2016-03-14,43.7,43.7,40.5,41.05,88406,,
2016-03-11,42.8,43.2,41.2,42.05,137838,,
2016-03-10,42.65,44.7,41.45,41.95,314188,,
2016-03-09,38,42.8,37.3,42.25,593944,,
2016-03-08,38,40.2,37,38.5,105991,,
2016-03-07,38.55,38.55,38.55,38.55,0,,
2016-03-04,37.8,40.15,37,38.55,145757,,
2016-03-03,38.5,39,36.9,37.15,96703,,
2016-03-02,36.5,39.4,36.5,37.95,190507,,
2016-03-01,33,36.55,32.75,36.2,188382,,
2016-02-29,33.7,33.9,31.6,32.4,93465,,
2016-02-26,35.5,35.6,33.3,33.4,155166,,
2016-02-25,35.25,36.45,34.45,34.9,162340,,
2016-02-24,35.65,36.2,34.65,34.9,129331,,
